,Times,User,Tweet
130,2022-06-28 09:56:31,DouglasColosso,"RT @DouglasColosso: Inter 2001-02 home, size XL
🇧🇷Ronaldo il Fenomeno 
Excellent condition 
95£ https://t.co/0JmF10wJ2o"
131,2022-06-28 09:56:29,dejikhalifa,RT @TeamCRonaldo: Throwback to when Cristiano Ronaldo despite being on a hatrick gave the penalty to Karim Benzema to boost his confidence.…
132,2022-06-28 09:56:28,frodecii,RT @stavfps: Messi on Thursday nights when Ronaldo is playing in the Europa League https://t.co/2kBvfUEb0P
133,2022-06-28 09:56:27,gotyopima,RT @prfootbalI: The most emotional Cristiano Ronaldo pic of last season.💔 https://t.co/9pXtqrfrCL
134,2022-06-28 09:56:27,semiloree1,RT @SznTenHag: Cristiano Ronaldo going from McTominay and Fred to Eriksen and De Jong https://t.co/NFg0NG2gtw
135,2022-06-28 09:56:26,MoussaSignatey,RT @_BeFoot: Les stats de Ronaldo 🇧🇷 avec la Seleção en Coupe du Monde 🥵 https://t.co/JeaWJ7R8fz
136,2022-06-28 09:56:24,adrienbdr,"@22rxmi @italiancmr Bah merde j'ai raté l'instruction d'un footix dont les seuls tweets sont ""Messi &gt; ronaldo"", ""faut que je refasse mon insta"", ""c'est quoi votre fond d'écran"", laisse moi 5 minutes je vais me mettre en pls et pleurer"
137,2022-06-28 09:56:23,Arrizabalaga18,"RT @ActuFoot_: Cristiano Ronaldo, alias CR9, a marqué 33 buts en 35 matches lors de sa première saison avec le Real Madrid. 🤍9️⃣ https://t.…"
138,2022-06-28 09:56:23,MichaelLanre6,"RT @ShanviMessi: ""Ronaldo proved himself in the Europa league Messi could never do it outside his UCL comfort zone 💀"" https://t.co/LogHvTwA…"
139,2022-06-28 09:56:23,ayoade_olusola,RT @prfootbalI: The most emotional Cristiano Ronaldo pic of last season.💔 https://t.co/9pXtqrfrCL
140,2022-06-28 09:56:23,nov_amal,@emirdesauza @FenerGlobalOrg @Fenerbahce Messi ronaldo da gelsin mi?😀 şaka gibisiniz yemin ederim
141,2022-06-28 09:56:22,AyushBiswas11,RT @TimelineCR7: Cristiano Ronaldo winning the Euro 2020 golden boot while playing in the group of death isn’t talked about enough… https:/…
142,2022-06-28 09:56:21,edwin9_hope,"RT @MadeiraCakes: An average Messi fan logic:

“Show me Ronaldo UCL without Scholes and Modric”

Yes Modric and Scholes were teammates, whi…"
143,2022-06-28 09:56:20,cristi7moro,RT @Vettel_AMR: Ronaldo scoring this in a UCL semi final isn’t normal btw… https://t.co/drbGlYputx
144,2022-06-28 09:56:20,Obaji_007,"RT @kerrihope: I'm as soft as I look 🍑😋 and I love Wizkid, Davido, Ronaldo and Rihanna too. https://t.co/sxNNA2HVWk"
145,2022-06-28 09:56:18,TheGoatStan1,@markgoldbridge Notice how Koeman didn’t talk about Ronaldo ? Ronaldo is truly finished smh 🤦🏾‍♂️
146,2022-06-28 09:56:17,grrreaze,@77_Kiah @kusssman Respect Ronaldo oga
147,2022-06-28 09:56:16,KingCharming11,"RT @DeadlineDayLive: 🚨 Jorge Mendes offered Inter Milan the chance to sign Cristiano Ronaldo but they rejected him. 

(Source: La Repubblic…"
148,2022-06-28 09:56:16,Suliman1984ss,"RT @CristianoXtra_: Darren Bent on United captain:

“Of course Cristiano Ronaldo! I’ve always said it should be him or De Gea.”

https://t.…"
149,2022-06-28 09:56:13,sof3tatsumaki,@uch960 @Amaurinho7ii HAHAHAHHAHAHA VOUS ACEZ PETEE LES PLOMBS MDRRRR depuis quand Ronaldo est un grand milieu
150,2022-06-28 09:56:13,olivelgnl,"RT @_le442: 🚨OFFICIEL

Cristiano Ronaldo est d’accord avec l’Olympique de Marseille pour ne pas signer chez eux. https://t.co/ZVmTonsFei"
151,2022-06-28 09:56:12,fess_born,RT @mrmacaronii: I started watching football because of Cristiano Ronaldo. I never miss an opportunity to watch Ronaldo play. I don’t miss…
